ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
264.6118770540301,-32.399910640268196,6.888094620553363,4054941506780980736,9.937624,0.78891945,106321801,9.49,2.2848002784985972e-05
264.2868884159036,-32.21537737122882,1.3191429132671058,4054961362403857920,8.875026,0.16144371,104644065,8.81,7.83563359952633e-05
264.28028205879485,-32.20554963797938,10.97112592344294,4054961435429731200,16.769922,3.0343704,104643901,15.18,0.00011211731815310911
264.3597913230069,-32.184946008312274,10.071581192509184,4054962771153130112,9.147859,0.79905033,105306730,8.69,4.819462390555499e-05
264.38458778360354,-32.13335395200354,11.404256097377575,4054963359575070080,15.691194,2.816411,105307428,14.3,0.00021533154790070089
264.68109923394394,-32.230806380321795,7.73001033451158,4054969162068022656,14.853145,2.1772432,106323946,13.7,9.343271642061283e-05
264.5986922369682,-32.00878373892752,16.463137752704156,4054988545263248256,9.267938,0.9343462,105696614,8.75,1.8013542936756323e-05
264.3207972363486,-32.06894595507588,1.7671610405101144,4055010913453068800,9.018483,1.3380394,104641903,8.24,4.4954109052061276e-05
264.2442936609908,-32.12878766564456,10.528972689252141,4055010982172546304,7.0108066,0.13264036,104642645,6.96,1.293898607970748e-05
263.9664258069501,-31.95436029741889,6.800000357400267,4055029845669151872,15.977233,2.2724981,103642086,14.94,0.0001759727647277557
264.5989640290203,-31.61108113954459,8.832069401879343,4055144366673328768,13.277197,1.9639654,105690614,12.18,5.7455419153717646e-05
264.6453230350009,-31.322876787535264,9.652953494409953,4055161512184410880,10.573075,0.97177505,106454918,10.02,6.998560963189572e-05
263.6629844059673,-31.872337447696875,3.658582170216966,4055216900092525184,6.6577215,1.5409746,102633056,5.69,0.00010535557466783853
263.9368502950689,-31.82405810354137,7.051438554697302,4055220988901206400,10.0434675,0.77986526,103640174,9.59,6.0193034369984666e-05
264.0102797086479,-31.554472592045364,7.949593421621309,4055250362163434112,15.256314,2.418704,103636423,13.85,0.00012834005936184151
263.88054962503344,-31.135706348741742,17.410691261020308,4055325201990988288,15.115054,2.9074106,103389486,13.78,0.0001987409068806455
263.84498454958594,-30.887198912513092,7.932953250383485,4055333070371363968,15.635636,2.5585403,103392705,14.37,0.00010244053720165844
